timestamp_raw,log_level,client,message,parsed_status,line_no,raw_line,timestamp,date,hour,weekday
Sun Dec 04 04:47:44 2005,notice,unknown,workerEnv.init() ok /etc/httpd/conf/workers2.properties,success,1,[Sun Dec 04 04:47:44 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:47:44,2005-12-04,4,Sunday
Sun Dec 04 04:47:44 2005,error,unknown,mod_jk child workerEnv in error state 6,success,2,[Sun Dec 04 04:47:44 2005] [error] mod_jk child workerEnv in error state 6,2005-12-04 04:47:44,2005-12-04,4,Sunday
Sun Dec 04 04:51:08 2005,notice,unknown,jk2_init() Found child 6725 in scoreboard slot 10,success,3,[Sun Dec 04 04:51:08 2005] [notice] jk2_init() Found child 6725 in scoreboard slot 10,2005-12-04 04:51:08,2005-12-04,4,Sunday
Sun Dec 04 04:51:09 2005,notice,unknown,jk2_init() Found child 6726 in scoreboard slot 8,success,4,[Sun Dec 04 04:51:09 2005] [notice] jk2_init() Found child 6726 in scoreboard slot 8,2005-12-04 04:51:09,2005-12-04,4,Sunday
Sun Dec 04 04:51:09 2005,notice,unknown,jk2_init() Found child 6728 in scoreboard slot 6,success,5,[Sun Dec 04 04:51:09 2005] [notice] jk2_init() Found child 6728 in scoreboard slot 6,2005-12-04 04:51:09,2005-12-04,4,Sunday
Sun Dec 04 04:51:14 2005,notice,unknown,workerEnv.init() ok /etc/httpd/conf/workers2.properties,success,6,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:51:14,2005-12-04,4,Sunday
Sun Dec 04 04:51:14 2005,notice,unknown,workerEnv.init() ok /etc/httpd/conf/workers2.properties,success,7,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:51:14,2005-12-04,4,Sunday
Sun Dec 04 04:51:14 2005,notice,unknown,workerEnv.init() ok /etc/httpd/conf/workers2.properties,success,8,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:51:14,2005-12-04,4,Sunday
Sun Dec 04 04:51:18 2005,error,unknown,mod_jk child workerEnv in error state 6,success,9,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,2005-12-04 04:51:18,2005-12-04,4,Sunday
Sun Dec 04 04:51:18 2005,error,unknown,mod_jk child workerEnv in error state 6,success,10,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,2005-12-04 04:51:18,2005-12-04,4,Sunday
